has_school,n,mean_pop,median_pop,mean_gdp_pc,mean_fiscal_auto,mean_fpm_dep,mean_adm_cap,mean_dist_capital,mean_urban_share,pct_periphery
No school,280,8245,5908,40860,0.059,0.358,-0.126,,0.879,47.1
Has school,5291,39900,11731,38929,0.084,0.304,0.011,253.5,0.867,39.9
